English,Magyar
neighbor,szomszéd
aboard,fedélzeten
sweat,izzad/verejték
ghosts,szellemek/kísértetek
crimes,bűncselekmények
costs,költségek/kerül
deserves,megérdemel
dreaming,álmodik/álmodozik
bust,mellszobor/rajtaütés
messages,üzenetek
enjoying,élvez
afterwards,utána/később
comfort,kényelem/vigasz
surrender,megadás/feladás
gym,tornaterem/edzőterem
crush,szeret/összetör
yup,igen/jap
arranged,elrendezett/megbeszélt
suits,öltönyök/illik
pee,pisil/pisi
stress,stressz/feszültség
cave,barlang
wing,szárny
arrange,elrendez/szervez
comrade,elvtárs/bajtárs
noble,nemes
tricks,trükkök/csíny
launch,indít/kilövés
legend,legenda
mix,kever/keverék
golf,golf
imagination,képzelet
fox,róka
kissing,csókol/csókolózás
butter,vaj
tax,adó
gross,bruttó/undorító
insist,ragaszkodik/követel
classic,klasszikus
selfish,önző
skull,koponya
shown,mutatott/kiállított
bat,denevér/ütő
survived,túlélte
print,nyomtat/nyomtatvány
champion,bajnok
bills,számlák
therapy,terápia
lifetime,élettartam/élet
throughout,végig/szerte
a.m.,de. (délelőtt)
toward,felé/irányába
sauce,szósz
experiment,kísérlet
describe,leír/jellemez
grass,fű/gyep
cheat,csal
attend,részt vesz
homework,házi feladat
betrayed,elárulta
servant,szolga
cap,sapka/kupak
bible,Biblia
practically,gyakorlatilag
steel,acél
wipe,töröl/letöröl
burns,ég/égések
generation,generáció/nemzedék
cabin,kabin/kunyhó
financial,pénzügyi
industry,ipar
bond,kötvény/kötelék
sheep,birka/juh
scientists,tudósok
beaten,megvert/levert
heck,a fene/francba
deck,fedélzet/pakli
fans,rajongók
script,forgatókönyv/szkript
brand,márka
degree,fokozat/diploma
painful,fájdalmas
coughing,köhög
religion,vallás
cats,macskák
influence,befolyás
fuel,üzemanyag
drawing,rajz/rajzolás
uh-oh,ó-ó/jaj
rabbit,nyúl
exercise,gyakorlat/testmozgás
attractive,vonzó
touching,megható/érintő
virus,vírus
realise,rájön/felismeri
torture,kínzás/kínoz
blessed,áldott
plain,sima/síkság
recent,legutóbbi/friss
footsteps,léptek
sacred,szent
removed,eltávolított
pretending,tettet/színlel
wasted,pazarolt/berúgott
goodnight,jó éjt/jó éjszakát
robot,robot
crystal,kristály
confirm,megerősít
lad,fiú/legény
mile,mérföld
division,hadosztály/osztály
scratch,karcolás/kapar
reminds,emlékeztet
walks,sétál/séták
ending,végződés/vég
contest,verseny/versenyez
valuable,értékes
distant,távoli
dumped,kidobott/ledobott
motion,mozdulat/mozgás
electricity,villamos energia
centre,központ/közepe
murders,gyilkosságok
seal,pecsét/fóka
standard,szabvány/szokásos
wore,viselt/hordott
surrounded,körülvett/körülvette
struck,ütött/sújtott
inform,tájékoztat
gentle,szelíd/finom
status,státusz/állapot
purse,pénztárca/erszény
prints,nyomatok/nyomtat
players,játékosok
charged,megvádolt/felszámolt
begging,könyörög
delivered,kézbesített/szállított
buck,dollár/bak
construction,építkezés/építés
confirmed,megerősített
confession,gyónás/vallomás
trigger,ravasz/kiváltó
cells,cellák/sejtek
frankly,őszintén
exit,kijárat/kilép
response,válasz/reagálás
cancel,töröl/lemond
argument,vita/érv
principal,igazgató/fő
clinic,klinika/rendelő
greetings,üdvözletek
neighbors,szomszédok
vice,alelnök/bűn
toy,játék
everyday,mindennapi
generous,nagylelkű/bőkezű
gain,nyereség/szerez
idiots,idióták/hülyék
enjoyed,élvezett
jungle,dzsungel
link,kapcsolat/link
underground,föld alatt/metró
smiling,mosolyog
mistress,szerető/úrnő
teams,csapatok
product,termék
beef,marhahús
whispers,suttog
religious,vallási
presents,ajándékok
identify,azonosít
chip,csip/szilánk
chffffff,chffffff (hang)
surveillance,megfigyelés
vampire,vámpír
routine,rutin/szokásos
uses,használ/felhasználások
underneath,alatta
systems,rendszerek
temperature,hőmérséklet
waves,hullámok/integet
tribe,törzs
deputy,helyettes/segéd
headquarters,főhadiszállás
equal,egyenlő
phones,telefonok
reckon,gondol/számít
related,kapcsolódó/rokon
incredibly,hihetetlenül
chill,hűt/pihen
spit,köp
tracks,nyomok/sávok
makeup,smink/sminkeli
bug,poloska/hiba
sounded,hangzott
spirits,szellemek/hangulat
nerve,ideg
divorced,elvált
stake,tét/karó
port,kikötő
doorbell,csengő
worries,aggodalmak/aggódik
nephew,unokaöcs
units,egységek
just-,csak- (dadogás)
proceed,folytat/halad
landing,leszállás/lépcsőfeljárat
traitor,áruló
outfit,öltözék/felszerelés
bail,óvadék
fields,mezők/területek
patience,türelem
recording,felvétel/rögzítés
foolish,ostoba/bolond
loaded,feltöltött/teli
costume,jelmez/kosztüm
injured,sérült/megsérült
somethin,valami (rövidítés)
pet,háziállat/kedvenc
cage,kalitka/ketrec
digging,ás/ásás
seats,ülések/helyek
awkward,kínos/esetlen
cleaned,tisztított
pattern,minta
filthy,piszkos/mocskos
visiting,látogat/látogatás
answering,válaszol
concentrate,koncentrál
someplace,valahol
citizens,állampolgárok/polgárok
aim,cél/céloz
affairs,ügyek/viszonyok
thick,vastag/sűrű
sport,sport
basic,alapvető/alap
electric,elektromos/villamos
pleasant,kellemes
cliff,szikla/szirt
nail,köröm/szög
environment,környezet
western,nyugati
average,átlag/átlagos
ease,könnyedség/enyhít
raped,megerőszakolt
interrupt,megszakít
satisfied,elégedett
beep,síp/csipogás
starving,éhezik/éhes
documents,dokumentumok/iratok
anniversary,évforduló
election,választás
warrior,harcos
forth,előre
fetch,hoz/elmegy érte
banks,bankok/partok
placed,helyezett
timing,időzítés
stones,kövek
complex,komplex/bonyolult
frozen,fagyott/lefagyott
replace,helyettesít/lecserél
prayer,imádság
skip,kihagy/átugrik
guilt,bűntudat
tune,dallam/hangol
woo,udvarol
actions,cselekedetek/akciók
conscience,lelkiismeret
officially,hivatalosan
machines,gépek
smaller,kisebb
determined,elszánt/határozott
blown,fújt/robbantott
hail,jégeső/üdvözöl
unhappy,boldogtalan/elégedetlen
booth,fülke/stand
pour,önt/tölt
cleared,kitisztított/megtisztított
packed,csomagolt/tele
wrap,becsomagol/burkolat
behalf,nevében/érdekében
reasonable,ésszerű/elfogadható
trunk,törzs/csomagtartó
homes,otthonok/lakóhelyek
festival,fesztivál/ünnep
tradition,hagyomány
cigarettes,cigaretták
beside,mellett
motive,motívum/indíték
beings,lények/emberek
bishop,püspök
dealer,kereskedő/osztó
defendant,vádlott
backup,tartalék/biztonsági mentés
wounds,sebek
ouch,jaj/au
nearby,közeli/közelben
drank,ivott
effects,hatások/effektek
benefit,előny/haszon
adventure,kaland
territory,terület
apology,bocsánatkérés
unlike,ellentétben/eltérően
owns,tulajdonol/birtokol
boxes,dobozok
thus,így/ezáltal
developed,fejlesztett/fejlett
busted,elkapott/törött
pipe,cső/pipa
gray,szürke
no.,szám/No.
goods,áruk
favourite,kedvenc
salad,saláta
loyal,hűséges/lojális
atmosphere,légkör
freaking,kibaszott/rohadt
dropping,ejt/dobás
strangers,idegenek
mouse,egér
downtown,belváros
heroes,hősök
pit,gödör/verem
rotten,rohadt/rossz
paradise,paradicsom
meantime,időközben
organization,szervezet
hills,dombok
exam,vizsga
cock,kakas/fasz
fairy,tündér
comment,megjegyzés/komment
activity,tevékenység
frame,keret/váz
knight,lovag
testing,tesztelés/próba
habit,szokás
shelter,menedék/hajlék
flow,folyik/áramlás
holes,lyukak
prevent,megakadályoz/megelőz
lend,kölcsönad
figures,alakok/számok
sample,minta
strip,csík/szalag
landed,landolt/ért partot
buzzing,zümmög/zümmögés
monk,szerzetes/barát
slightly,enyhén/kissé
produce,termel/előállít
annoying,idegesítő/bosszantó
judgment,ítélet/vélemény
laundry,mosoda/mosás
lousy,vacak/pocsék
souls,lelkek
existence,létezés
belly,has/pocak
tries,próbál
returning,visszatér
answered,válaszolt
plants,növények/üzemek
actress,színésznő
chairman,elnök
individual,egyén/egyedi
hopes,remények/remél
tattoo,tetoválás
fence,kerítés
sink,mosogató/süllyed
punk,punk
confident,magabiztos/biztos
yay,hurrá/jé
mistaken,tévedett/téves
limit,határ/korlát
bothering,zavar/bosszant
uncomfortable,kényelmetlen
wednesday,szerda
gifts,ajándékok
policeman,rendőr
na,na/nem (köznyelvi)
precisely,pontosan
lawyers,ügyvédek
merely,csupán/pusztán
criminals,bűnözők
underwear,fehérnemű/alsónemű
hoped,remélt
earned,keresett/megszerzett
reveal,felfed/feltár
appeared,megjelent
heavens,egek
personality,személyiség
wives,feleségek
colour,szín
worker,munkás/dolgozó
pope,pápa
instructions,utasítások
intelligent,intelligens/okos
worrying,aggódik/aggasztó
comin,jön (rövidítés)
cried,sírt/kiáltott
traveling,utazik/utazás
bells,harangok/csengők
impact,hatás/becsapódás
robbed,kirabolták
relief,megkönnyebbülés
host,házigazda/műsorvezető
footage,felvétel
odds,esélyek/esélyarány
patrol,járőr/őrjárat
circus,cirkusz
mud,sár
captured,elfogott
lessons,leckék/tanulságok
occasion,alkalom
sets,készletek/beállít
pulse,pulzus/impulzus
ad,hirdetés/reklám
invented,feltalált
diamonds,gyémántok
auntie,néni
cloud,felhő
angels,angyalok
hers,az övé (nőé)
classes,órák/osztályok
mm-hm,mm-hm/ühüm
signature,aláírás
complain,panaszkodik
blah,bla/mán-mán
monitor,monitor/figyelemmel kísér
options,lehetőségek/opciók
claims,követelések/állítások
flies,repül/legyek
hid,elrejtett
wailing,jajgat/siránkozik
listened,hallgatott
countries,országok
yell,kiabál/ordít
rats,patkányok
wondered,csodálkozott/töprengett
smooth,sima/simogat
resist,ellenáll
companies,cégek/társaságok
fantasy,fantázia
passport,útlevél
pitch,hangmagasság/pálya
hammer,kalapács
homicide,emberölés
holds,tart/fogások
flew,repült
noon,dél/délben
helicopter,helikopter
dishes,edények/mosogatás
spin,forgás/pörgés
charm,varázs/báj
slap,pofon/üt
apply,pályázik/alkalmaz
fools,bolondok/becsap
screeching,sikoltozik/csikorgás
discover,felfedez
previous,előző/korábbi
kit,készlet/felszerelés
authorities,hatóságok
moaning,nyög/nyögés
photograph,fénykép/fotó
sales,értékesítés/árusítás
fifty,ötven
beneath,alatt/alant
farewell,búcsú/isten áldjon
clouds,felhők
slipped,megcsúszott/kicsúszott
represent,képvisel
deaf,süket
facing,néz/szembenéz
offense,sértés/támadás
citizen,állampolgár
clown,bohóc
snap,pattan/törik
messing,pakol/rendetlenkedik
hood,motorháztető/kapucni
twelve,tizenkettő
interests,érdeklődések/érdekek
cheated,csalt
informed,tájékoztatott
humanity,emberiség/emberség
producer,producer/termelő
technically,technikailag
accounts,számlák/beszámolók
extreme,extrém/szélsőséges
gettin,kap (rövidítés)
cia,CIA
pays,fizet
profile,profil
oxygen,oxigén
jeez,jesszusom/uram
shed,fészer/hullik
minor,kisebb/kiskorú
ex,volt/ex
theatre,színház
scientific,tudományos
lovers,szeretők
chaos,káosz
rocket,rakéta
math,matek/matematika
stubborn,makacs/csökönyös
oi,hé/hej
chips,sültkrumpli/zsetonok
intense,intenzív
grey,szürke
talkin,beszél (rövidítés)
terrorist,terrorista
angle,szög/nézőpont
invitation,meghívás
gambling,szerencsejáték/kártyázás
respond,reagál/válaszol
thirty,harminc
procedure,eljárás/műtét
absolute,abszolút/teljes
investigate,vizsgál/nyomoz
tragedy,tragédia
stable,istálló/stabil
session,ülés/szesszió
capture,elfog/felvétel
marrying,házasodik
ripped,szakított/tépett
attacks,támadások
stretch,nyújtás/szakasz
bush,bokor
dates,randevúk/dátumok
unable,képtelen
gates,kapuk
artists,művészek
increase,növekedés/növel
tastes,ízek/ízlések
cared,törődött
bottles,üvegek
highest,legmagasabb
whirring,zúg/zúgás
meanwhile,közben/időközben
grabbed,megragadta
pigs,disznók
chop,vág/darabolás
wheels,kerekek
shocked,sokkolva/megdöbbent
reverend,tiszteletes
commercial,kereskedelmi/reklám
escort,kíséret/kísér
engagement,eljegyzés
corpse,holttest
worthy,méltó/érdemes
scale,mérleg/skála
beats,üt/ütések
threatening,fenyegető
exists,létezik
academy,akadémia
acts,cselekszik/felvonások
hop,ugrik/szökken
judges,bírák/ítél
furniture,bútor
shared,megosztott
consequences,következmények
engineer,mérnök
schools,iskolák
softly,halkan/puhán
bombs,bombák
shark,cápa
transport,szállítás/szállít
population,népesség/lakosság
succeed,sikerül/utódol
creepy,hátborzongató
sneak,oson/beosony
studies,tanulmányok/tanul
destruction,pusztítás
protected,védett
monsters,szörnyek
joining,csatlakozás
punished,megbüntetett
lightning,villám
shell,kagyló/lövedék
fascinating,lenyűgöző
chamber,kamra
romance,románc
instance,példa/eset
jumping,ugrik/ugrás
groups,csoportok
exhausted,kimerült/kifáradt
testify,tanúskodik
studied,tanult/tanulmányozott
walker,járó/sétáló
pin,tű/gombostű
imagined,elképzelte
drill,fúró/gyakorlat
investigating,vizsgál/nyomoz
ye,te (régi angol)
experienced,tapasztalt/átélt
necklace,nyaklánc
loyalty,hűség/lojalitás
junk,szemét/toldás
cries,sír/kiáltozások
southern,déli
blocks,tömbök/blokkok
emotions,érzelmek
begun,kezdődött
liver,máj
serving,felszolgál/adag
matches,gyufák/mérkőzések
surgeon,sebész
granted,megadott/engedélyezett
jazz,jazz
supplies,ellátmány/készletek
deeper,mélyebb
typical,tipikus/jellemző
kicking,rúg/rúgás
obey,engedelmeskedik
dancer,táncos
remote,távoli/távirányító
daughters,lányok
moron,idióta/hülye
teachers,tanárok
dragged,vonszolt/húzott
strategy,stratégia
parent,szülő
album,album
compared,hasonlított össze
rubbish,szemét/badarság
helpful,segítőkész
powder,por/púder
sync,szinkron/összehangol
bum,csavargó/fenék
passes,átad/bérletek
fort,erőd
choices,választások
alley,sikátor
supper,vacsora
penis,pénisz
alibi,alibi
pole,rúd/lengyelek
coke,kóla/koksz
scientist,tudós
fighter,harcos/vadász
highway,autópálya
blade,penge
alpha,alfa
diet,diéta
liquor,szeszes ital
jet,sugár/jet
widow,özvegy
liberty,szabadság
moral,erkölcsi/morál
award,díj/ítél meg
grief,gyász/bánat
thirsty,szomjas
random,véletlen/véletlenszerű
suspects,gyanúsítottak/gyanít
intention,szándék
active,aktív
tools,eszközök/szerszámok
driven,vezetett/hajtott
trauma,trauma/sérülés
headache,fejfájás
safely,biztonságosan
knee,térd
lads,fiúk/legények
novel,regény/újszerű
conversations,beszélgetések
waters,vizek
lookin,néz (rövidítés)
invisible,láthatatlan
internal,belső
peaceful,békés
humming,dúdol/zümmögés
washed,mosott
drives,vezet/hajtások
talented,tehetséges
aid,segítség/segély
elephant,elefánt
troubles,bajok/gondok
core,mag/lényeg
serial,sorozat/soros
painted,festett
divine,isteni
jam,lekvár/torlódás
goat,kecske
opera,opera
thieves,tolvajok
guessing,találgat
objection,kifogás
whiskey,whisky
resistance,ellenállás
dressing,öltözködés/öltözet
attached,csatolt/ragaszkodó
brief,rövid/tájékoztatás
punish,büntet
eternal,örök
required,szükséges/megkövetelt
fabulous,mesés/fantasztikus
twins,ikrek
characters,karakterek/szereplők
cooked,főzött/megfőtt
dreamed,álmodott
arts,művészetek
naughty,pajkos/szemtelen
stabbed,leszúrta
tend,hajlamos/gondoz
tap,csap/koppint
soap,szappan
locker,szekrény
development,fejlesztés/fejlődés
images,képek
prick,szúr/fasz
global,globális/világméretű
string,húr/zsinór
bitter,keserű
sharing,megosztás
corn,kukorica
fits,illik/rohamok
tent,sátor
forms,űrlapok/formák
votes,szavazatok
propose,javasol/megkér
constantly,folyamatosan
granny,nagyi
nicely,szépen/ügyesen
nerves,idegek
arguing,vitatkozik
abuse,visszaélés/bántalmaz
relatives,rokonok
survival,túlélés
gloves,kesztyűk
tracking,nyomon követ/követés
u,u (betű)
bend,hajlít/kanyar
review,áttekintés/vélemény
connect,összeköt/kapcsolódik
separated,különválasztott/szétváltak
elder,idősebb/vén
beard,szakáll
admiral,admirális
salary,fizetés/bér
areas,területek
disturb,zavar/megzavar
pro,profi/mellett
maintain,fenntart
solved,megoldott
wealth,vagyon/gazdagság
bitches,kurvák/nőstények
possession,birtoklás/tulajdon
sang,énekelt
gimme,add (rövidítés)
plates,tányérok/tábla
shoulders,vállak
burnt,égett/megégett
recorded,rögzített/felvett
upper,felső
counts,számít/számolások
tale,mese/történet
profit,profit/nyereség
colleague,kolléga
warehouse,raktár
hostage,túsz
shore,part/tengerpart
porn,pornó
fifteen,tizenöt
visitors,látogatók
net,háló/nettó
insult,sértés/sérteget
cities,városok
causing,okoz
lemon,citrom
heal,gyógyít/begyógyul
banging,döngöl/dörömbölés
honeymoon,nászút
appeal,fellebbezés/vonzerő
critical,kritikus
creating,alkotás/létrehozás
crane,daru
enormous,hatalmas/óriási
testimony,tanúvallomás
praise,dicséret/dicsér
fights,harcok/verekedések
commission,bizottság/jutalék
growls,morog
sins,bűnök
fraud,csalás
branch,ág/fiók
happily,boldogan
covering,fed/borítás
occurred,megtörtént/előfordult
beans,bab
raw,nyers
muscle,izom
pages,oldalak
tense,feszült/igeidő
relationships,kapcsolatok
management,vezetés/menedzsment
assignment,feladat/megbízás
blonde,szőke
catching,elkap/kapás
exposed,kitett/leleplezett
dont,nem (rövidítés)
comedy,komédia/vígjáték
stroke,ütés/stroke
whistling,füttyent/fütyülés
buildings,épületek
shaking,ráz/rázás
p.m.,du. (délután)
facility,létesítmény/könnyedség
appropriate,megfelelő/elsajátít
remarkable,figyelemre méltó
transferred,áthelyezett
drawn,rajzolt/húzott
tits,cicik/cinegék
clicking,kattint/kattogás
symbol,szimbólum/jelkép
motor,motor
employees,alkalmazottak
ambassador,nagykövet
mothers,anyák
pile,halom/rakás
feeding,etetés/táplálás
soda,szóda/üdítő
checks,ellenőriz/csekkek
bears,medvék/visel
cookies,sütik
slut,ribanc
awfully,borzalmasan/nagyon
stepped,lépett
toys,játékok
levels,szintek
differently,másképp
magnificent,pompás/nagyszerű
steak,steak/bifsztek
tube,cső/metró
leaders,vezetők
superior,felettes/kiváló
herr,úr (német)
pan,serpenyő
expression,kifejezés/arckifejezés
currently,jelenleg
throne,trón
deadly,halálos
bee,méh
tooth,fog
depressed,depressziós/lehangolt
potatoes,krumplik/burgonyák
wicked,gonosz/mókás
resources,erőforrások
native,bennszülött/anyanyelvi
centuries,évszázadok
poetry,költészet
multiple,többszörös/több
cable,kábel
shortly,hamarosan/röviden
buzz,zümmögés/zaj
socks,zoknik
fingerprints,ujjlenyomatok
goddess,istennő
chin,áll
anxious,aggódó/szorongó
colors,színek
basketball,kosárlabda
promises,ígéretek/ígér
explained,megmagyarázott
appearance,megjelenés/kinézet
musical,zenés/musical
sends,küld
slide,csúszda/csúszik
ultimate,végső/ultimátum
pork,sertéshús/disznóhús
communication,kommunikáció
payment,fizetés/kifizetés
structure,szerkezet/struktúra
paperwork,papírmunka
obsessed,megszállott
lazy,lusta
actors,színészek
squeeze,szorít/préseli
magical,varázslatos/mágikus
colleagues,kollégák
admire,csodál
madness,őrültség
roads,utak
entry,bejegyzés/belépés
injury,sérülés
burden,teher
racing,verseny/versenyzés
manner,mód/modor
freezing,fagyos/befagyasztás
bits,darabok/bitek
mount,hegy/felszerel
battery,akkumulátor/üteg
dessert,desszert
pound,font
visited,látogatott
motel,motel
rumbling,morajlik/dübörgés
cinema,mozi
fond,szerető/kedvelő
halfway,félúton
rifle,puska
reception,recepció/fogadás
statue,szobor
fridge,hűtő
brick,tégla
abandon,elhagy/abbahagy
lap,öl/kör
wars,háborúk
recommend,ajánl
brush,kefe/ecset
nelson,Nelson (fogás)
pill,tabletta/pirula
concept,koncepció/fogalom
w,w (betű)
delay,késleltetés/késik
quarters,negyedek/szállás
rub,dörzsöl/bedörzsöl
mall,bevásárlóközpont
soil,talaj/föld
complaint,panasz
sail,vitorla/hajózik
baker,pék
coughs,köhög
bucket,vödör
description,leírás
badge,jelvény/kitűző
measure,mér/intézkedés
hip,csípő/menő
function,funkció/működés
indistinctly,homályosan/érthetetlen
foundation,alapítvány/alap
labor,munka/szülés
waiter,pincér/felszolgáló
homeless,hajléktalan
proved,bizonyított
unfortunate,szerencsétlen
log,napló/rönk
meetings,találkozók/ülések
giggles,kuncog
combat,harc/küzdelem
poem,vers/költemény
handed,átadott/kezes
weed,gyom/fű
tons,tonna
satellite,műhold
eagle,sas
privacy,magánélet
chapter,fejezet
treating,kezel/vendégel
wisdom,bölcsesség
flip,átfordít/pöccint
entering,belépés
barn,pajta/csűr
farmer,farmer/gazda
clan,klán
budget,költségvetés
pub,kocsma/pub
temporary,ideiglenes
effective,hatékony
lamb,bárány
plot,cselekmény/telek
proposal,javaslat/ajánlat
sticks,botok/ragaszt
searched,keresett
blessing,áldás
rage,düh/harag
bothered,zavarta
basis,alapon/bázis
manners,modor
recover,felépül/visszanyeri
twist,csavar/fordulat
leak,szivárgás/kiszökik
item,tétel/elem
catholic,katolikus
sighing,sóhajt
retired,nyugdíjas/kivonult
kings,királyok
inner,belső
cents,cent
affect,érint/befolyásol
forbidden,tiltott/tilos
patch,folt/tapasz
drops,cseppek/ejt
necessarily,szükségszerűen
provided,biztosított/amennyiben
meters,méterek
booked,lefoglalt
returns,visszatér/bevételek
fires,tüzek/kirúg
humor,humor
torn,szakadt/tépett
e-mail,e-mail
introduced,bemutatta
creative,kreatív
betray,elárul
various,különböző/sokféle
added,hozzáadott
discovery,felfedezés
cowboy,cowboy
suspected,gyanította
suggested,javasolta
delighted,elragadtatott/örvendő
sticking,ragad/kitart
dive,búvárkodik/merülés
radar,radar
prosecutor,ügyész
vast,hatalmas/óriási
owned,tulajdonolt
cookie,süti
finest,legfinomabb/legjobb
pump,pumpa/szivattyú
counter,pult/számláló
sorts,fajták/rendez
coin,érme
slaves,rabszolgák
marine,tengerészgyalogos/tengeri
illness,betegség
sack,zsák/kirúg
bid,ajánlat/licit
require,igényel/követel meg
largest,legnagyobb
washing,mosás/mosakodás
achieve,elér
causes,okok/okoz
k,k (betű)
mo,mo (rövidítés)
dope,drog/hülye
nest,fészek
palm,pálma/tenyér
constant,állandó
b.,b. (rövidítés)
boo,hú/bú
medication,gyógyszer/gyógykezelés
gravity,gravitáció/komolyság
booze,pia/alkohol
abroad,külföldön
rising,emelkedő/felkelő
analysis,elemzés
cuts,vágások/csökkentések
eats,eszik
employee,alkalmazott
vodka,vodka
damaged,sérült/károsodott
solar,nap-/szoláris
height,magasság
pops,durr/popzene
yards,yard/udvarok
terrified,megrémült
suitcase,bőrönd
chemical,kémiai/vegyszer
preparing,készít/felkészül
advanced,fejlett/halad
fund,alap/finanszíroz
wears,visel
chirping,csirip/csiripelés
web,háló/web
phase,fázis/szakasz
prom,bál
suggesting,javasol
fleet,flotta/hajóraj
lame,béna/sánta
editor,szerkesztő
assumed,feltételezte
whip,ostor/megkorbácsol
region,régió/térség
amongst,között
temper,indulat/hőmérséklet
discussion,vita/megbeszélés
engines,motorok
operate,működtet/operál
sunshine,napfény
acted,viselkedett/játszott
undercover,álcázott/titkos
horror,borzalom/horror
tested,tesztelt
smash,széttör/ütés
contrary,ellentétes/ellenkezőleg
roses,rózsák
poker,póker
wrapped,csomagolt/burkolt
mi,mi (hang)
fu,fu (hang)
focused,fókuszált/összpontosított
tragic,tragikus
demons,démonok
rounds,körök/fordulók
entertainment,szórakoztatás
gathered,összegyűlt
uhh,ööö/hm
yells,kiabál/ordít
crossing,átkelés/kereszteződés
blanket,takaró/pléd
nut,dió/anyacsavar
pockets,zsebek
limited,korlátozott/limitált
paintings,festmények
sober,józan
sis,húgi/testvérkém
intended,szándékozott
niece,unokahúg
computers,számítógépek
tennis,tenisz
needle,tű
chicks,csajok/csibék
traditional,hagyományos
delicate,finom/kényes
independent,független
grandson,unoka (fiú)
repair,javítás/javít
a.,a. (rövidítés)
executive,vezető/végrehajtó
recognized,felismerte
regarding,vonatkozóan
weakness,gyengeség
aliens,földönkívüliek/idegenek
gunshots,lövések
method,módszer
tool,eszköz/szerszám
demands,követelések/igények
permit,engedély/enged
towel,törölköző
nowadays,manapság
spider,pók
northern,északi
zoo,állatkert
praying,imádkozik
passengers,utasok
con,átverés/rászed
technique,technika
cellphone,mobiltelefon
gently,gyengéden/finoman
operations,műveletek/hadműveletek
planes,repülők
bunny,nyuszi/nyúl
gunfire,tűzharc/lövöldözés
shining,ragyog/fénylő
backwards,hátrafelé
skill,készség/ügyesség
uh-,ö- (dadogás)
baron,báró
kidnapping,emberrablás
iike,mint (elírás)
marshal,marsall
petty,kicsinyes/jelentéktelen
sealed,lepecsételt/zárt
massage,masszázs
raising,nevel/emel
menu,menü/étlap
diary,napló
fucker,köcsög/seggfej
wagon,kocsi/szekér
audition,meghallgatás
casino,kaszinó
bacon,szalonna
promotion,előléptetés/promóció
click,kattintás/kattint
forgiveness,megbocsátás
burst,kitörés/robbanás
permanent,állandó/végleges
interfere,beavatkozik/zavar
chanting,kántál/énekel
dammit,a francba/basszus
recovered,felépült/visszaszerzett
registered,regisztrált
sunny,napos
packing,csomagolás
scenes,jelenetek/színhelyek
questioning,kérdezés/kihallgatás
unfair,tisztességtelen/igazságtalan
admitted,bevallotta/felvett
ancestors,ősök/elődök
polite,udvarias
completed,befejezett/teljesített
swallow,nyel/fecske
conduct,viselkedés/vezényel
prayers,imák
sheet,lepedő/lap
fried,sült
avenue,sugárút
poisoned,megmérgezett
reverse,hátramen/fordított
newspapers,újságok
complaining,panaszkodik
senses,érzékek
investment,befektetés
absurd,abszurd/esztelen
potato,burgonya/krumpli
understands,megért/ért
grows,nő/növekszik
inspired,inspirált
celebrating,ünnepel
tag,címke/jelölés
ram,kos/belevet
requires,megköveteli
bugs,bogarak/hibák
hooked,akasztott/rászokott
ranch,farm/tanyasi
safer,biztonságosabb
worn,viselt/kopott
crashing,összeomlik/becsapódás
lands,földek/landol
leather,bőr
grounds,területek/alapok
assuming,feltételezve
nails,körmök/szögek
conspiracy,összeesküvés
thanksgiving,hálaadás
guardian,gyám/őr
rumors,pletykák/szóbeszédek
yen,jen/vágy
ashes,hamu
terror,terror/rémület
misunderstanding,félreértés
tire,gumi/fárad
boats,csónakok/hajók
parade,felvonulás/parádé
halt,megáll/leállít
immunity,immunitás/mentesség
adults,felnőttek
steam,gőz
closely,szorosan/közelebbről
soccer,foci/labdarúgás
priority,prioritás/elsőbbség
shouts,kiált/kiabálások
happier,boldogabb
struggling,küzd/nehezen megy
root,gyökér
larger,nagyobb
nov.28,nov.28
boot,csizma/rendszerindító
conflict,konfliktus
laughed,nevetett
cherry,cseresznye
honking,dudál
concerns,aggodalmak/vonatkozik
celebration,ünneplés
sore,fájó/gyulladt
unconscious,eszméletlen/tudattalan
cattle,marha/szarvasmarha
breasts,mellek
fairly,meglehetősen/tisztességesen
fee,díj/költség
recognise,felismer
radiation,sugárzás
holidays,ünnepek/szabadságok
raining,esik/esőzik
forgetting,elfelejt
lungs,tüdők
register,regisztrál/nyilvántartás
shadows,árnyékok
specifically,kifejezetten
sarge,őrmester (rövidítés)
ideal,ideális
turtle,teknős
spoil,elront/elkényeztet
deserved,megérdemelt
candidate,jelölt
types,típusok/gépel
bloke,fickó/pasas
explode,felrobban
immediate,azonnali
belonged,tartozott
identified,azonosított
di,di (rövidítés)
hunger,éhség
closest,legközelebbi
combination,kombináció/összetétel
nanny,dajka/bébiszitter
develop,fejleszt/kifejlődik
detectives,nyomozók
severe,súlyos/komoly
organized,szervezett
gut,bél/gyomor
splendid,pompás/nagyszerű
dismissed,elbocsátott/elutasított
pm,du./PM
vulnerable,sebezhető/kiszolgáltatott
continued,folytatódott
vital,létfontosságú
comrades,bajtársak
bureau,iroda/hivatal
drawer,fiók
retreat,visszavonulás/menedék
